"MEASURE - US dollars at current prices in millions"

,YEAR,"2016","2017","2018","2019","2020"
"          Peru","    General government final consumption expenditure",25260.8723713876,27878.951345969,29109.9986187136,30248.1173860304,32516.9924482568
"          Philippines","  Final consumption expenditure",267046.2497875958,274297.8869333612,293378.3186495069,322840.4139718395,326842.6821307231
"          Philippines","    Household consumption expenditure (including NPISH)",231175.3249018627,237102.8097102577,251608.8993937876,275858.9972283169,271611.7853480273
"          Philippines","    General government final consumption expenditure",35870.924885733,37195.0772230837,41769.4192557194,46981.4167435226,55230.8967826757
"          Poland","  Final consumption expenditure",361720.6119196679,401833.8331275361,447440.6907149413,451056.2265993814,453181.3004707572
"          Poland","    Household consumption expenditure (including NPISH)",277033.2294867841,308725.348385959,343265.5754650371,343446.7849584893,338640.6364524143
"          Poland","    General government final consumption expenditure",84687.3824328838,93108.48474157709,104175.1152499042,107609.4416408921,114540.664018343
"          Portugal","  Final consumption expenditure",171258.7754759254,180990.7931020744,196871.7773677489,194522.1488036154,190509.9820787367
"          Portugal","    Household consumption expenditure (including NPISH)",134977.4430520806,142951.0207718814,155733.969839116,153730.9022976076,146753.2783792595
"          Portugal","    General government final consumption expenditure",36281.3324238448,38039.772330193,41137.8075286329,40791.2465060078,43756.7036994772
"          Qatar","  Final consumption expenditure",68660.09733461541,69440.7796038462,72042.6111167582,75689.0195574176,72400.4442510989
"          Qatar","    Household consumption expenditure (including NPISH)",39005.9680164835,41068.9203887363,42193.8677461538,43124.5530601648,38338.7626524725
"          Qatar","    General government final consumption expenditure",29654.1293181319,28371.8592148352,29848.7433706044,32564.4664972527,34061.6815986264
"          Romania","  Final consumption expenditure",146050.8312427378,167330.1158340855,194701.5057273452,201132.2050295841,198868.1567470874
"          Romania","    Household consumption expenditure (including NPISH)",117670.2949279618,134074.7976039431,154071.1721501752,156966.156786635,151971.6933154517
"          Romania","    General government final consumption expenditure",28380.536314776,33255.3182301423,40630.3335771701,44166.0482429491,46896.4634316357
"          Russian Federation","  Final consumption expenditure",915632.8062501061,1119068.988999701,1128250.127974176,1173387.191224619,1041023.963091417
"          Russian Federation","    Household consumption expenditure (including NPISH)",677981.9269587084,828768.3296409494,835532.2660638745,868930.3674916318,770938.931379725
"          Russian Federation","    General government final consumption expenditure",237650.8792913976,290300.6593587518,292717.8619103172,304456.8237330026,270085.0317117063
"          Rwanda","  Final consumption expenditure",8043.1727668279,8214.969436709,8907.279851052799,9437.922050478301,9480.767645745
"          Rwanda","    Household consumption expenditure (including NPISH)",6732.2829539147,6825.9649425795,7486.9925944899,7801.185332959,7813.1787486459
"          Rwanda","    General government final consumption expenditure",1310.8898129132,1389.0044941295,1420.2872565629,1636.7367175193,1667.5888970991
"          Saint Kitts and Nevis","  Final consumption expenditure",861.9244340741,861.0125796296001,878.807152963,912.5763614815,805.8227688889
"          Saint Kitts and Nevis","    Household consumption expenditure (including NPISH)",676.6534688889,670.6791355556001,685.3126174074,712.9980477778,628.5630518519
"          Saint Kitts and Nevis","    General government final consumption expenditure",185.2709651852,190.3334437037,193.4945351852,199.5783137037,177.259717037
"          Saint Lucia","  Final consumption expenditure",1594.7082607407,1589.95493,1580.1221003704,1509.3094181481,1531.0721751852
"          Saint Lucia","    Household consumption expenditure (including NPISH)",1364.1455337037,1352.4227188889,1345.6440185185,1286.7527777778,1303.838667037
"          Saint Lucia","    General government final consumption expenditure",230.562727037,237.5322111111,234.4780818519,222.5566403704,227.2335077778
"          Saint Vincent and the Grenadines","  Final consumption expenditure",785.1426325926,795.5004266667,814.7028537037,828.5012274074001,810.8608807407001
"          Saint Vincent and the Grenadines","    Household consumption expenditure (including NPISH)",630.1726503704,629.3342744444,645.9259674074,659.0936033333001,643.1421240741
"          Saint Vincent and the Grenadines","    General government final consumption expenditure",154.9699822222,166.1661525926,168.7768862963,169.4076244444,167.7187566667
"          Samoa","  Final consumption expenditure",924.8686658895,928.545150112,939.7934496659,953.6736501548,868.786593684
"          Samoa","    Household consumption expenditure (including NPISH)",768.9677100569001,772.6353643402,781.9063107385,793.3054506645,722.8107724253
"          Samoa","    General government final consumption expenditure",155.9009558325,155.9097857718,157.8871385408,160.3681991127,145.9758212587
"          San Marino","  Final consumption expenditure",854.5902256604001,873.9678795182,921.7637558681,892.9005407784,906.1696142134
"          San Marino","    Household consumption expenditure (including NPISH)",565.5725814098,570.27504267,600.438375906,577.4073764071,589.1851421927
"          San Marino","    General government final consumption expenditure",289.0176442506,303.6928368482,321.3253799621,315.4931643714,316.9844720207
"          Sao Tome and Principe","  Final consumption expenditure",321.1734059958,338.47383545,420.6295050857,445.3181449308,518.630300148
"          Sao Tome and Principe","    Household consumption expenditure (including NPISH)",275.1585260972,291.9211440404,335.2323519002,373.498652648,431.8744939087
"          Sao Tome and Principe","    General government final consumption expenditure",46.0148798986,46.5526914096,85.3971531855,71.8194922828,86.7558062392
"          Saudi Arabia","  Final consumption expenditure",442690.3310029333,451899.2605509334,491824.3246178667,497863.9211381334,500753.006112
"          Saudi Arabia","    Household consumption expenditure (including NPISH)",276121.7520602667,283638.4235586667,298197.4918770667,308751.7600312,300989.7649032
"          Saudi Arabia","    General government final consumption expenditure",166568.5789426667,168260.8369922667,193626.8327408,189112.1611072,199763.2412088
"          Senegal","  Final consumption expenditure",16303.2373545305,17643.3168257694,19254.4174839844,19175.585963156,21448.6753454222
"          Senegal","    Household consumption expenditure (including NPISH)",13631.629189239,14780.6445134612,16060.122204622,15967.6790323788,17906.4762523391
"          Senegal","    General government final consumption expenditure",2671.6081652916,2862.6723123081,3194.2952793624,3207.9069307772,3542.1990930814
"          Serbia","  Final consumption expenditure",41566.8542002353,44978.7257851229,50777.8178154482,51019.6985762853,52490.8060035184
"          Serbia","    Household consumption expenditure (including NPISH)",34249.9377031974,36999.0228238808,41448.5041537283,41471.6622029119,42087.5309476991
"          Serbia","    General government final consumption expenditure",7316.9164970379,7979.702961242,9329.3136617198,9548.036373373399,10403.2750558193
"          Serbia and Montenegro","  Final consumption expenditure","_","_","_","_","_"
"          Serbia and Montenegro","    Household consumption expenditure (including NPISH)","_","_","_","_","_"
"          Serbia and Montenegro","    General government final consumption expenditure","_","_","_","_","_"
"          Seychelles","  Final consumption expenditure",1106.3160839245,1203.4511937602,1304.4087846291,1274.3306076639,807.3842623209
"          Seychelles","    Household consumption expenditure (including NPISH)",796.8333231558,889.4108782524,941.6809621322,914.0149288297,518.0308395038001
"          Seychelles","    General government final consumption expenditure",309.4827608437,314.0403154345,362.7278225688,360.3156788342,289.3534228171
"          Sierra Leone","  Final consumption expenditure",4276.2955828269,3934.2535925146,4324.033576210301,4539.3164436585,4278.7819291726
"          Sierra Leone","    Household consumption expenditure (including NPISH)",3819.2289078929,3545.0076879687,3946.5459299767,4194.1594324937,3952.2340232435
"          Sierra Leone","    General government final consumption expenditure",457.066674934,389.2459045459,377.4876462336,345.1570111648,326.5479059291
"          Singapore","  Final consumption expenditure",149083.6684321459,155786.0854137625,167435.2932454386,172013.0239036284,154439.7803936724
"          Singapore","    Household consumption expenditure (including NPISH)",116309.7411925112,120846.6788565635,129838.0709374089,133448.952040025,112228.0378573281
"          Singapore","    General government final consumption expenditure",32773.9272396347,34939.406557199,37597.2223080296,38564.0718636034,42211.7425363443
"          Sint Maarten (Dutch part)","  Final consumption expenditure",882.0670391061,931.0785251397,822.9968547486,932.534852514,748.5684234637
"          Sint Maarten (Dutch part)","    Household consumption expenditure (including NPISH)",696.243203352,734.2379402235,648.2198664804,735.3172312849,590.0649150838
"          Sint Maarten (Dutch part)","    General government final consumption expenditure",185.8238357542,196.8405849162,174.7769882682,197.2176212291,158.5035089385
"          Slovakia","  Final consumption expenditure",66349.2967756599,71575.79952690371,79231.3457980752,80133.38251595281,83845.2742921621
"          Slovakia","    Household consumption expenditure (including NPISH)",49377.5303855794,53500.7741790824,59558.1363912423,59551.0331536627,61273.3775384811
"          Slovakia","    General government final consumption expenditure",16971.7663900805,18075.0253478212,19673.2094068329,20582.3493622902,22571.896753681
"          Slovenia","  Final consumption expenditure",32672.991443339,34494.9886944306,38086.0640083498,38320.5360370588,37929.237426755
"          Slovenia","    Household consumption expenditure (including NPISH)",24157.1796546375,25528.9972654836,28189.007424531,28378.9721258509,26912.9101524125
"          Slovenia","    General government final consumption expenditure",8515.8117887016,8965.9914289471,9897.0565838188,9941.563911207801,11016.3272743424
"          Solomon Islands","  Final consumption expenditure",1270.0686661433,1316.1894510358,1467.6562428504,1551.5206787275,1556.0634927959
"          Solomon Islands","    Household consumption expenditure (including NPISH)",868.8685351243,881.6477535143,994.2208701395,1050.5765102329,1050.0298046435
"          Solomon Islands","    General government final consumption expenditure",401.200131019,434.5416975215,473.4302305575,500.942356519,506.0312650427
"          Somalia","  Final consumption expenditure",1227.4790157695,1318.2109031636,1360.5043201691,1490.3397861212,1524.1328773433
"          Somalia","    Household consumption expenditure (including NPISH)",1095.8552981666,1176.8578008442,1214.612422674,1330.5278479261,1360.6967598881
"          Somalia","    General government final consumption expenditure",131.6237176028,141.3531023194,145.8918974951,159.8119381951,163.4361174553
"          South Africa","  Final consumption expenditure",237307.939576745,279323.4865754354,298942.3261528538,286531.9900247623,249148.2062259861
"          South Africa","    Household consumption expenditure (including NPISH)",175692.8099904298,206733.5852265672,220603.711324319,211692.1707604032,180954.9188175341
"          South Africa","    General government final consumption expenditure",61615.1295863152,72589.9013488682,78338.6148285348,74839.8192643591,68193.287408452
"          South Sudan","  Final consumption expenditure",5643.2513411609,5989.1226501331,8848.914621731299,16386.4938769339,22079.484300616
"          South Sudan","    Household consumption expenditure (including NPISH)",4897.4618238859,5327.4484115973,7808.4223730124,14920.1396701565,19742.3780242482
"          South Sudan","    General government final consumption expenditure",745.7895172751,661.6742385358,1040.4922487189,1466.3542067775,2337.1062763678
"          Spain","  Final consumption expenditure",951891.1084252169,1010425.253395296,1091394.462643921,1061223.773160783,997452.4492389133
"          Spain","    Household consumption expenditure (including NPISH)",717079.436359686,766039.0651270602,826046.9747905877,798899.5502274497,717318.5737540876
"          Spain","    General government final consumption expenditure",234811.6720655309,244386.1882682357,265347.4878533331,262324.2229333329,280133.8754848257
"          Sri Lanka","  Final consumption expenditure",65456.0575116503,66120.9846719489,68240.7999176701,66587.45134692411,65445.6953759303
"          Sri Lanka","    Household consumption expenditure (including NPISH)",58485.7705415853,58659.9629887347,60173.4860986029,58660.0150874804,57059.1037006846
"          Sri Lanka","    General government final consumption expenditure",6970.286970065,7461.0216832142,8067.3138190671,7927.4362594437,8386.5916752457
"          State of Palestine","  Final consumption expenditure",17159.3,17648.5,18047.5,18967.7,17522.2
"          State of Palestine","    Household consumption expenditure (including NPISH)",13534,14301.8,14468.1,15427.9,13875.6
"          State of Palestine","    General government final consumption expenditure",3625.3,3346.7,3579.4,3539.8,3646.6
"          Sudan","  Final consumption expenditure",86726.3070861672,116284.1908860214,45292.2120194434,33766.3106744439,60885.0896540948
"          Sudan","    Household consumption expenditure (including NPISH)",81433.2401989707,107943.8037154964,41545.2737557083,30995.4811154408,49386.2536669273
"          Sudan","    General government final consumption expenditure",5293.0668871965,8340.387170525,3746.9382637351,2770.8295590031,11498.8359871675
"          Sudan (...2011)","  Final consumption expenditure","_","_","_","_","_"
"          Sudan (...2011)","    Household consumption expenditure (including NPISH)","_","_","_","_","_"
"          Sudan (...2011)","    General government final consumption expenditure","_","_","_","_","_"
"          Suriname","  Final consumption expenditure",2261.84062468,2168.4577772609,2150.3238753482,2524.1350227943,2532.2028052927
"          Suriname","    Household consumption expenditure (including NPISH)",1887.2611592625,1780.2457639935,1738.4530026246,1932.045186377,2020.6632456814
"          Suriname","    General government final consumption expenditure",374.5794654175,388.2120132674,411.8708727236,592.0898364173,511.5395595039
"          Sweden","  Final consumption expenditure",372417.6715113986,388130.0754203802,398576.323585551,377408.037819144,382015.6293499807
"          Sweden","    Household consumption expenditure (including NPISH)",236463.3228834023,247343.9492376811,253828.0525148927,239916.8142361702,237411.1436709207
"          Sweden","    General government final consumption expenditure",135954.3486279964,140786.126182699,144748.2710706583,137491.2235829739,144604.48567906
"          Switzerland, Liechtenstein","  Final consumption expenditure",446554.930250261,454921.7337518511,466604.4132030067,464191.6832719282,477095.2161649548
"          Switzerland, Liechtenstein","    Household consumption expenditure (including NPISH)",366720.2159699058,374360.0759097178,384187.3339454265,381711.1011056938,386975.119589565
"          Switzerland, Liechtenstein","    General government final consumption expenditure",79834.7142803552,80561.6578421333,82417.0792575802,82480.5821662344,90120.09657538981
"            Liechtenstein","  Final consumption expenditure",3968.5754392757,4142.7569147703,4300.9976626387,4201.9537082612,4318.7590058672
"            Liechtenstein","    Household consumption expenditure (including NPISH)",3259.0768648132,3409.1200267427,3543.400960919,3455.3233820042,3502.9743041514
"            Liechtenstein","    General government final consumption expenditure",709.4985744625,733.6368880276,757.5967017197,746.630326257,815.7847017158
"            Switzerland","  Final consumption expenditure",442586.3548109853,450778.9768370809,462303.415540368,459989.729563667,472776.4571590877
"            Switzerland","    Household consumption expenditure (including NPISH)",363461.1391050925,370950.9558829751,380643.9329845075,378255.7777236896,383472.1452854137
"            Switzerland","    General government final consumption expenditure",79125.2157058927,79828.0209541057,81659.48255586049,81733.9518399775,89304.3118736741
"          Syrian Arab Republic","  Final consumption expenditure",9541.372147502099,12112.7861062313,15859.5690887972,19089.5938024382,11175.9142755691
"          Syrian Arab Republic","    Household consumption expenditure (including NPISH)",7937.6125038725,10077.9017753345,13194.4784287696,15881.7616489652,9298.0674775629
"          Syrian Arab Republic","    General government final consumption expenditure",1603.7596436296,2034.8843308968,2665.0906600276,3207.832153473,1877.8467980062
"          Tajikistan","  Final consumption expenditure",6395.0584984701,6920.3728377758,6804.9312204388,7254.600207757,7900.0930864913
"          Tajikistan","    Household consumption expenditure (including NPISH)",5572.9723348659,6062.2416466774,5933.6153844753,6328.6861995516,6972.1668968936
"          Tajikistan","    General government final consumption expenditure",822.0861636043001,858.1311910984,871.3158359635,925.9140082054,927.9261895977
"          Tanzania, United Republic of","  Final consumption expenditure",35210.8489975075,37595.1450817351,39856.3874255673,41846.8306229872,44734.0786895688
"          Tanzania, United Republic of","    Household consumption expenditure (including NPISH)",30583.6784430405,32941.7229369601,35100.4412718,36906.9490251798,39724.2134384336
"          Tanzania, United Republic of","    General government final consumption expenditure",4627.170554467,4653.422144775,4755.9461537677,4939.8815978078,5009.8652511352
"          Thailand","  Final consumption expenditure",276437.3309257844,297678.0861604056,329686.0902390868,358818.5214261853,354130.7830672571
"          Thailand","    Household consumption expenditure (including NPISH)",206722.3695723312,223299.2690307587,247746.7370124497,270744.5804167615,265341.4939007059
"          Thailand","    General government final consumption expenditure",69714.9613534532,74378.81712964689,81939.3532266371,88073.9410094239,88789.2891665511
"          Timor-Leste","  Final consumption expenditure",1882.905741,1884.030543,1922.388571,2055.057723,2040.36282
"          Timor-Leste","    Household consumption expenditure (including NPISH)",970.67501,1010.45208,1042.458973,1098.249851,1082.46308
"          Timor-Leste","    General government final consumption expenditure",912.23073,873.5784619999999,879.9295990000001,956.807872,957.899739
"          Togo","  Final consumption expenditure",5635.5490314496,5797.7781234602,6305.286399880301,6154.8254237881,6441.337902396
"          Togo","    Household consumption expenditure (including NPISH)",4695.6861853293,4904.8926099998,5377.2347538467,5342.901788119,5511.40698905
"          Togo","    General government final consumption expenditure",939.8628461203,892.8855134604,928.0516460336,811.9236356691,929.9309133477
"          Tonga","  Final consumption expenditure",492.7054028787,536.9807189886,577.1310833946,588.8056654052,603.5304157966
"          Tonga","    Household consumption expenditure (including NPISH)",406.7350648894,444.4225176739,484.9561396392,485.5231652367,486.4891576794
"          Tonga","    General government final consumption expenditure",85.97033798930001,92.55820086129999,92.17494375539999,103.2825001685,117.0412581172
"          Trinidad and Tobago","  Final consumption expenditure",18278.6379050727,18253.5316663041,19330.2792854879,20368.8818155723,19314.2894142811
"          Trinidad and Tobago","    Household consumption expenditure (including NPISH)",14702.4114843879,14676.8936785394,15540.5496659344,16378.9959802148,15529.4924856825
"          Trinidad and Tobago","    General government final consumption expenditure",3576.2264206849,3576.6379879121,3789.7296195535,3989.8858353575,3784.7969285985
"          Tunisia","  Final consumption expenditure",38586.5054856381,37045.2896865991,36683.2607107775,36395.8856337965,36364.0460925143
"          Tunisia","    Household consumption expenditure (including NPISH)",30020.2976365979,28731.7854448888,28748.4069213913,28315.6202787591,28330.3647716774
"          Tunisia","    General government final consumption expenditure",8566.2078490402,8313.5042417103,7934.8537893862,8080.2653550373,8033.6813211925
"          Turkey","  Final consumption expenditure",644796.5469877567,626968.0841165092,551718.6228026894,550721.6109886079,517928.0876517855
"          Turkey","    Household consumption expenditure (including NPISH)",516664.3051247211,503443.3324035108,437402.18947808,432886.9802653528,408636.0882339469
"          Turkey","    General government final consumption expenditure",128132.2418630357,123524.7517129983,114316.4333246094,117834.6307232551,109291.9994178386
"          Turkmenistan","  Final consumption expenditure",7093.3393597143,7781.8999482857,7699.2924074286,8653.656858857101,8573.9498122857
"          Turkmenistan","    Household consumption expenditure (including NPISH)",3825.99506,4277.4105502857,4248.2811308571,4733.524964,4711.263790285701
"          Turkmenistan","    General government final consumption expenditure",3267.3442997143,3504.489398,3451.0112762857,3920.1318948571,3862.686022
"          Turks and Caicos Islands","  Final consumption expenditure",633.369376,635.1996,690.5979630000001,740.461315,573.263483
"          Turks and Caicos Islands","    Household consumption expenditure (including NPISH)",408.270121,414.335101,450.1893,481.01225,373.346052
"          Turks and Caicos Islands","    General government final consumption expenditure",225.099255,220.864499,240.408663,259.449065,199.917431
"          Tuvalu","  Final consumption expenditure",66.4305416038,72.5428619214,72.7491522377,83.58741257290001,85.09219276170001
"          Tuvalu","    Household consumption expenditure (including NPISH)",27.3830577564,31.5975150763,27.7620186713,33.2892409789,34.5209963012
"          Tuvalu","    General government final consumption expenditure",39.0474838475,40.945346845,44.9871335665,50.2981708989,50.5711964605
"          Uganda","  Final consumption expenditure",24164.1145313824,25252.8385744812,27208.1966416179,30041.7817935724,31531.274062004
"          Uganda","    Household consumption expenditure (including NPISH)",21764.9704156473,22621.2156455892,24428.9221080306,26854.2633010344,27577.0392527567
"          Uganda","    General government final consumption expenditure",2399.1441157349,2631.6229288921,2779.2745335875,3187.5184925381,3954.2348092473
"          Ukraine","  Final consumption expenditure",79539.0170517299,98438.3485046361,117986.5408563623,143347.5922029664,145532.7627349027
"          Ukraine","    Household consumption expenditure (including NPISH)",62172.9179676682,75254.1500003329,90798.1726850362,114453.5325485841,115570.1449323801
"          Ukraine","    General government final consumption expenditure",17366.0990840617,23184.1985043032,27188.3681713261,28894.0596543823,29962.6178025226
"          Union of Soviet Socialist Republics","  Final consumption expenditure","_","_","_","_","_"
"          Union of Soviet Socialist Republics","    Household consumption expenditure (including NPISH)","_","_","_","_","_"
"          Union of Soviet Socialist Republics","    General government final consumption expenditure","_","_","_","_","_"
"          United Arab Emirates","  Final consumption expenditure",173959.2056623554,194803.4791281144,211618.507375902,215044.2345385977,190884.9661383254
"          United Arab Emirates","    Household consumption expenditure (including NPISH)",129233.9176781484,143857.5295025187,161715.9886556841,163818.9971131382,140385.7321808033
"          United Arab Emirates","    General government final consumption expenditure",44725.2879839347,50945.9496255956,49902.5187202178,51225.2374254595,50499.2339575221
"          United Kingdom","  Final consumption expenditure",2282494.378618876,2241112.197336674,2416485.28860854,2390828.631212568,2299576.888996723
"          United Kingdom","    Household consumption expenditure (including NPISH)",1765860.305057189,1740994.178500915,1884129.665211276,1849621.602690118,1683712.45220548
"          United Kingdom","    General government final consumption expenditure",516634.0735616872,500118.0188357598,532355.6233972652,541207.02852245,615864.4367912429
"            United Kingdom excl. Channel Islands and Isle of Man","  Final consumption expenditure",2282494.378618876,2241112.197336674,2416485.28860854,2390828.631212568,2299576.888996723
"            United Kingdom excl. Channel Islands and Isle of Man","    Household consumption expenditure (including NPISH)",1765860.305057189,1740994.178500915,1884129.665211276,1849621.602690118,1683712.45220548
"            United Kingdom excl. Channel Islands and Isle of Man","    General government final consumption expenditure",516634.0735616872,500118.0188357598,532355.6233972652,541207.02852245,615864.4367912429
"          United States of America","  Final consumption expenditure",15425957.1,16041311.3,16854452.6,17477958.5,17198612.6
"          United States of America","    Household consumption expenditure (including NPISH)",12754245.4,13301563.8,13976983,14495632.4,14112749.8
"          United States of America","    General government final consumption expenditure",2671711.7,2739747.5,2877469.6,2982326.1,3085862.8
"            United States of America including Puerto Rico","  Final consumption expenditure",15425957.1,16041311.3,16854452.6,17477958.5,17198612.6
"            United States of America including Puerto Rico","    Household consumption expenditure (including NPISH)",12754245.4,13301563.8,13976983,14495632.4,14112749.8
"            United States of America including Puerto Rico","    General government final consumption expenditure",2671711.7,2739747.5,2877469.6,2982326.1,3085862.8
"              Puerto Rico","  Final consumption expenditure",69583.10000000001,71511.3,71505.60000000001,75364.5,73057.60000000001
"              Puerto Rico","    Household consumption expenditure (including NPISH)",60979.4,62453.8,63453,66956.39999999999,65184.8
"              Puerto Rico","    General government final consumption expenditure",8603.700000000001,9057.5,8052.6,8408.1,7872.8
"              United States of America excluding Puerto Rico and United States Virgin Islands","  Final consumption expenditure",15356374,15969800,16782947,17402594,17125555
"              United States of America excluding Puerto Rico and United States Virgin Islands","    Household consumption expenditure (including NPISH)",12693266,13239110,13913530,14428676,14047565
"              United States of America excluding Puerto Rico and United States Virgin Islands","    General government final consumption expenditure",2663108,2730690,2869417,2973918,3077990
"          Uruguay","  Final consumption expenditure",44192.3141257716,50540.3993048988,51663.2320734922,48658.7408398577,42165.025587688
"          Uruguay","    Household consumption expenditure (including NPISH)",35053.2536262126,39947.1561817383,40808.5639754806,38216.5300924469,32689.9991261019
"          Uruguay","    General government final consumption expenditure",9139.0604995259,10593.2431231605,10854.6680979791,10442.2107473825,9475.0264615861
"          Uzbekistan","  Final consumption expenditure",63684.3180570337,43228.1824828083,35278.5112235157,41017.7066790504,42103.0950856944
"          Uzbekistan","    Household consumption expenditure (including NPISH)",51504.389386801,35408.7015432091,28192.73884221,31261.5320296783,31971.1898751305
"          Uzbekistan","    General government final consumption expenditure",12179.9286702328,7819.4809395993,7085.7723813057,9756.1746493721,10131.9052105638
"          Vanuatu","  Final consumption expenditure",640.1402166398,698.4747565081,694.0178316909,727.3949962802,764.9677356301
"          Vanuatu","    Household consumption expenditure (including NPISH)",523.8230928785,545.0274539924,539.2663394684,576.0061689316,599.0225466545001
"          Vanuatu","    General government final consumption expenditure",116.3171237612,153.4473025157,154.7514922134,151.3888273486,165.9451889756
"          Venezuela (Bolivarian Rep. of)","  Final consumption expenditure",274303.2330019446,243003.6846309879,161589.7758186407,94277.043892691,91568.0315816083
"          Venezuela (Bolivarian Rep. of)","    Household consumption expenditure (including NPISH)",247488.9437365164,220693.7408756993,143610.1934591973,88353.9500665228,82901.510403591
"          Venezuela (Bolivarian Rep. of)","    General government final consumption expenditure",26814.2902925599,22309.9437552886,17979.5823594434,5923.0938261682,8666.5211780173
"          Viet Nam","  Final consumption expenditure",154064.4413858542,166809.9929876592,181560.9646027683,195452.9180941712,203791.7521417026
"          Viet Nam","    Household consumption expenditure (including NPISH)",140701.9700141852,152245.7221891256,165695.5895593541,178531.1593923179,185373.720729039
"          Viet Nam","    General government final consumption expenditure",13362.4713716688,14564.2707985336,15865.3750434142,16921.7587018535,18418.0314126636
"          Yemen","  Final consumption expenditure",25421.1717865059,23454.4407697942,25517.1669733307,28718.9078363477,31621.5084445634
"          Yemen","    Household consumption expenditure (including NPISH)",22315.8665856472,20932.0671434206,22795.0211191848,25781.1688857982,28980.6119445275
"          Yemen","    General government final consumption expenditure",3105.3052008587,2522.3736263736,2722.1458541459,2937.7389505455,2640.896500036
"          Yemen, Arab Republic","  Final consumption expenditure","_","_","_","_","_"
"          Yemen, Arab Republic","    Household consumption expenditure (including NPISH)","_","_","_","_","_"
"          Yemen, Arab Republic","    General government final consumption expenditure","_","_","_","_","_"
"          Yemen, Democratic","  Final consumption expenditure","_","_","_","_","_"
"          Yemen, Democratic","    Household consumption expenditure (including NPISH)","_","_","_","_","_"
"          Yemen, Democratic","    General government final consumption expenditure","_","_","_","_","_"
"          Yugoslavia, Soc. Fed. Rep. of","  Final consumption expenditure","_","_","_","_","_"
"          Yugoslavia, Soc. Fed. Rep. of","    Household consumption expenditure (including NPISH)","_","_","_","_","_"
"          Yugoslavia, Soc. Fed. Rep. of","    General government final consumption expenditure","_","_","_","_","_"
"          Zambia","  Final consumption expenditure",14140.3999521836,15702.4000951151,15175.8915282873,13970.2627180149,9633.640835591499
"          Zambia","    Household consumption expenditure (including NPISH)",10772.7261967569,12153.086059649,11831.992969584,9848.111992135,6969.2626651933
"          Zambia","    General government final consumption expenditure",3367.6737553297,3549.3140354661,3343.8985587989,4122.1507258799,2664.372719052
"          Zimbabwe","  Final consumption expenditure",20850.865043,22263.529257,24957.467436,22310.709281,22177.40412
"          Zimbabwe","    Household consumption expenditure (including NPISH)",17126.635457,17491.357666,18729.151593,17529.293242,17161.499198
"          Zimbabwe","    General government final consumption expenditure",3724.229586,4772.171591,6228.315843,4781.416039,5015.904922
