"MEASURE - US dollars at current prices in millions"

,YEAR,"2016","2017","2018"
"          Uruguay","  Final consumption expenditure",42496.124869872,48660.9406341103,48532.5581585835
"          Uruguay","    Household consumption expenditure (including NPISH)",34846.6516812211,40007.6926671409,39807.521672587
"          Uruguay","    General government final consumption expenditure",7649.4731886508,8653.2479669694,8725.036485996499
"          Uzbekistan","  Final consumption expenditure",63684.3180570337,43228.1824828083,35278.5112235157
"          Uzbekistan","    Household consumption expenditure (including NPISH)",51504.389386801,35408.7015432091,28192.73884221
"          Uzbekistan","    General government final consumption expenditure",12179.9286702328,7819.4809395993,7085.7723813057
"          Vanuatu","  Final consumption expenditure",640.1402166398,698.4747565081,694.0197576436
"          Vanuatu","    Household consumption expenditure (including NPISH)",523.8230928785,545.0274539924,539.2656692032
"          Vanuatu","    General government final consumption expenditure",116.3171237612,153.4473025157,154.7540884404
"          Venezuela (Bolivarian Rep. of)","  Final consumption expenditure",385852.2461826013,381676.0354410076,244367.3017049019
"          Venezuela (Bolivarian Rep. of)","    Household consumption expenditure (including NPISH)",332002.1184206104,330996.2048645665,214336.467405893
"          Venezuela (Bolivarian Rep. of)","    General government final consumption expenditure",53850.1277619771,50679.8305764411,30030.8342990088
"          Viet Nam","  Final consumption expenditure",154064.4413858542,166809.9929876592,181560.9646027683
"          Viet Nam","    Household consumption expenditure (including NPISH)",140701.9700141852,152245.7221891256,165695.5895593541
"          Viet Nam","    General government final consumption expenditure",13362.4713716688,14564.2707985336,15865.3750434142
"          Yemen","  Final consumption expenditure",25421.1717865059,23454.4402546733,25517.1661808472
"          Yemen","    Household consumption expenditure (including NPISH)",22315.8665856472,20932.0671434206,22795.0211191848
"          Yemen","    General government final consumption expenditure",3105.3052008587,2522.3731112527,2722.1450616623
"          Yemen, Arab Republic","  Final consumption expenditure","_","_","_"
"          Yemen, Arab Republic","    Household consumption expenditure (including NPISH)","_","_","_"
"          Yemen, Arab Republic","    General government final consumption expenditure","_","_","_"
"          Yemen, Democratic","  Final consumption expenditure","_","_","_"
"          Yemen, Democratic","    Household consumption expenditure (including NPISH)","_","_","_"
"          Yemen, Democratic","    General government final consumption expenditure","_","_","_"
"          Yugoslavia, Soc. Fed. Rep. of","  Final consumption expenditure","_","_","_"
"          Yugoslavia, Soc. Fed. Rep. of","    Household consumption expenditure (including NPISH)","_","_","_"
"          Yugoslavia, Soc. Fed. Rep. of","    General government final consumption expenditure","_","_","_"
"          Zambia","  Final consumption expenditure",14140.3999521836,15702.4000951151,15019.105154728
"          Zambia","    Household consumption expenditure (including NPISH)",10772.7261967569,12153.086059649,11675.206595929
"          Zambia","    General government final consumption expenditure",3367.6737553297,3549.3140354661,3343.8985587989
"          Zimbabwe","  Final consumption expenditure",20850.865043,22263.529257,24957.467436
"          Zimbabwe","    Household consumption expenditure (including NPISH)",17126.635457,17491.357666,18729.151593
"          Zimbabwe","    General government final consumption expenditure",3724.229586,4772.171591,6228.315843
